mode,model,run_id,latency_ms,throughput_fps
end-to-end,resnet34,0,13.635041999805253,73.34044148996995
end-to-end,resnet34,1,21.274083999742288,47.00554909965167
end-to-end,resnet34,2,19.302124994283076,51.80776729485386
end-to-end,resnet34,3,18.897667003329843,52.91658487917033
end-to-end,resnet34,4,18.955499996081926,52.75513704237285
end-to-end,resnet34,5,13.984624994918704,71.5071015750046
end-to-end,resnet34,6,24.177125000278465,41.361410837247284
end-to-end,resnet34,7,21.79058299952885,45.89138344860354
end-to-end,resnet34,8,22.41620799759403,44.61057820784549
end-to-end,resnet34,9,21.693082999263424,46.09764319962978
end-to-end,resnet34,10,14.360707995365374,69.63444980029743
end-to-end,resnet34,11,13.405165998847224,74.59810643792065
end-to-end,resnet34,12,12.82491699384991,77.97321421101924
end-to-end,resnet34,13,12.742291997710709,78.47881685490027
end-to-end,resnet34,14,13.589832997240592,73.58442154536037
end-to-end,resnet34,15,12.640375003684312,79.11157696733905
end-to-end,resnet34,16,13.027417000557762,76.76118757518744
end-to-end,resnet34,17,12.975332996575162,77.06931300059505
end-to-end,resnet34,18,13.226916998974048,75.6034078143505
end-to-end,resnet34,19,12.995375000173226,76.95045352570973
end-to-end,resnet34,20,12.547999998787418,79.69397514318102
end-to-end,resnet34,21,12.960125000972766,77.15974961082101
end-to-end,resnet34,22,13.082417004625313,76.43847460652326
end-to-end,resnet34,23,12.704833003226668,78.7102041991444
end-to-end,resnet34,24,13.219250002293848,75.64725682822223
end-to-end,resnet34,25,13.537999999243766,73.86615453212144
end-to-end,resnet34,26,12.833041997510009,77.92384690972177
end-to-end,resnet34,27,13.816958999086637,72.37482575334445
end-to-end,resnet34,28,14.931125006114598,66.97418979417021
end-to-end,resnet34,29,12.956791993929073,77.17959819595404
end-to-end,resnet34,30,13.234917001682334,75.55770843692383
end-to-end,resnet34,31,13.301792001584545,75.17784069100443
end-to-end,resnet34,32,13.203499998780899,75.7374938533216
end-to-end,resnet34,33,13.363542006118223,74.83046033320886
end-to-end,resnet34,34,17.617665995203424,56.76120777135061
end-to-end,resnet34,35,18.78633300657384,53.23018598946762
end-to-end,resnet34,36,18.53579200542299,53.94967745146425
end-to-end,resnet34,37,20.478249993175268,48.832297697960875
end-to-end,resnet34,38,18.4229160004179,54.280223607235484
end-to-end,resnet34,39,21.688291999453213,46.10782628826701
end-to-end,resnet34,40,13.974999994388781,71.55635065484925
end-to-end,resnet34,41,13.174374995287508,75.9049291034832
end-to-end,resnet34,42,12.686874993960373,78.82161686593847
end-to-end,resnet34,43,13.578666999819688,73.64493142171312
end-to-end,resnet34,44,18.823250000423286,53.12578858472966
end-to-end,resnet34,45,18.464708999090362,54.157365818722816
end-to-end,resnet34,46,19.838667001749855,50.40661249628293
end-to-end,resnet34,47,20.110750003368594,49.724649743669325
end-to-end,resnet34,48,12.707499998214189,78.69368484285124
end-to-end,resnet34,49,16.200167003262322,61.727758719933206
