mode,model,run_id,latency_ms,throughput_fps
end-to-end,vgg16,0,55.40074999589706,18.050297154353675
end-to-end,vgg16,1,51.16387500311248,19.545040322672325
end-to-end,vgg16,2,49.59149999922374,20.164745974928223
end-to-end,vgg16,3,45.909708002000116,21.781885433826627
end-to-end,vgg16,4,52.43479099590331,19.071307065534583
end-to-end,vgg16,5,48.15183400205569,20.76764095750347
end-to-end,vgg16,6,45.03629099781392,22.204315183249445
end-to-end,vgg16,7,44.40395900019212,22.520514443220556
end-to-end,vgg16,8,44.36441700090654,22.540586974907526
end-to-end,vgg16,9,44.13066599954618,22.659979797501435
end-to-end,vgg16,10,54.25679100153502,18.4308725514509
end-to-end,vgg16,11,75.14612499653595,13.307406071119404
end-to-end,vgg16,12,100.95949999958975,9.904961890699374
end-to-end,vgg16,13,59.905916001298465,16.692842155661637
end-to-end,vgg16,14,76.56741700338898,13.060385724592729
end-to-end,vgg16,15,70.70312499854481,14.143646409130879
end-to-end,vgg16,16,68.45450000400888,14.608243430913049
end-to-end,vgg16,17,48.54995799541939,20.59734016854038
end-to-end,vgg16,18,52.1869579970371,19.161875655921058
end-to-end,vgg16,19,49.470416000986006,20.214101291973545
end-to-end,vgg16,20,55.80200000258628,17.92050464058013
end-to-end,vgg16,21,58.561249999911524,17.07613823136478
end-to-end,vgg16,22,69.46783400053391,14.39515157464553
end-to-end,vgg16,23,48.36216700641671,20.67731993620798
end-to-end,vgg16,24,47.832041993387975,20.906487750162
end-to-end,vgg16,25,47.76145899813855,20.937383844136207
end-to-end,vgg16,26,48.05170799954794,20.810914775587324
end-to-end,vgg16,27,49.83791700215079,20.065044049831464
end-to-end,vgg16,28,65.04400000267196,15.374208227644681
end-to-end,vgg16,29,44.236957997782156,22.605532687173824
end-to-end,vgg16,30,43.24474999884842,23.124194266971813
end-to-end,vgg16,31,52.25491599412635,19.13695546104033
end-to-end,vgg16,32,50.75791700073751,19.701360085077372
end-to-end,vgg16,33,44.44304200296756,22.500710008401942
end-to-end,vgg16,34,48.55945800227346,20.593310575113545
end-to-end,vgg16,35,52.42533300042851,19.074747698633146
end-to-end,vgg16,36,54.77670799882617,18.255934621361863
end-to-end,vgg16,37,47.259124999982305,21.159934721609307
end-to-end,vgg16,38,47.717540997837204,20.95665407497266
end-to-end,vgg16,39,46.82854199927533,21.3544978619124
end-to-end,vgg16,40,48.15412499738159,20.766652909888315
end-to-end,vgg16,41,52.698875006171875,18.975737145866663
end-to-end,vgg16,42,49.14645800454309,20.347346291111357
end-to-end,vgg16,43,52.07354199956171,19.20361015596782
end-to-end,vgg16,44,55.87595799443079,17.89678487659524
end-to-end,vgg16,45,65.26783300068928,15.321483095500339
end-to-end,vgg16,46,50.16204200364882,19.935392580853453
end-to-end,vgg16,47,49.433667001721915,20.22912845945997
end-to-end,vgg16,48,48.82779200124787,20.480139670752333
end-to-end,vgg16,49,47.808208000788,20.916910334382695
