mode,model,run_id,latency_ms,throughput_fps
end-to-end,alexnet,0,3.4563750014058314,289.3204584552499
end-to-end,alexnet,1,3.4483749986975454,289.9916628492264
end-to-end,alexnet,2,3.2384590012952685,308.78884049482656
end-to-end,alexnet,3,3.40304100245703,293.85481963866727
end-to-end,alexnet,4,3.3177079967572354,301.4129034192916
end-to-end,alexnet,5,3.3554589972482063,298.02182080606394
end-to-end,alexnet,6,3.36083400179632,297.545192492552
end-to-end,alexnet,7,3.467750000709202,288.3714223330651
end-to-end,alexnet,8,3.836833006062079,260.6316194684602
end-to-end,alexnet,9,3.456083002674859,289.34490266178307
end-to-end,alexnet,10,3.510499998810701,284.85970669100794
end-to-end,alexnet,11,3.6683750004158355,272.600265754358
end-to-end,alexnet,12,3.5672500016517006,280.32798361118006
end-to-end,alexnet,13,5.044083998654969,198.25205136683988
end-to-end,alexnet,14,3.9163750043371692,255.33816319748624
end-to-end,alexnet,15,3.7760830018669367,264.82468725014496
end-to-end,alexnet,16,8.383250002225395,119.28547994328484
end-to-end,alexnet,17,3.7447909999173135,267.0375997010462
end-to-end,alexnet,18,3.569792002963368,280.128365789905
end-to-end,alexnet,19,3.4418750001350418,290.53931358947233
end-to-end,alexnet,20,4.8098749975906685,207.90561095681562
end-to-end,alexnet,21,6.5490420020069,152.69408864587496
end-to-end,alexnet,22,4.673499999626074,213.97239757783456
end-to-end,alexnet,23,5.969124998955522,167.5287416790535
end-to-end,alexnet,24,4.312167002353817,231.90196470919267
end-to-end,alexnet,25,3.8305420021060854,261.05966190951204
end-to-end,alexnet,26,3.6064579981029965,277.28036775307015
end-to-end,alexnet,27,3.6923329971614294,270.8314772174596
end-to-end,alexnet,28,3.481791995000094,287.2084264183544
end-to-end,alexnet,29,3.770082999835722,265.2461497647596
end-to-end,alexnet,30,3.5704170004464686,280.07932963431256
end-to-end,alexnet,31,3.8521669994224794,259.59414536024036
end-to-end,alexnet,32,3.7097500025993213,269.5599432035385
end-to-end,alexnet,33,3.5703750036191195,280.08262409028396
end-to-end,alexnet,34,3.499584003293421,285.7482486658159
end-to-end,alexnet,35,3.614625005866401,276.6538709761144
end-to-end,alexnet,36,3.9775420009391382,251.41155008894685
end-to-end,alexnet,37,4.4492499946500175,224.7569817839964
end-to-end,alexnet,38,4.1952500032493845,238.36481716833586
end-to-end,alexnet,39,3.7678329972550273,265.40454439687966
end-to-end,alexnet,40,3.837459000351373,260.5891033385467
end-to-end,alexnet,41,3.5072909959126264,285.1203396482908
end-to-end,alexnet,42,3.5116669969283976,284.76504203692576
end-to-end,alexnet,43,3.4737500027404167,287.87333550517656
end-to-end,alexnet,44,3.4838330029742792,287.04016499822535
end-to-end,alexnet,45,3.4483749986975454,289.9916628492264
end-to-end,alexnet,46,3.500749997328967,285.6530745591627
end-to-end,alexnet,47,3.5053750034421682,285.2761827245391
end-to-end,alexnet,48,3.451125005085487,289.7605848893988
end-to-end,alexnet,49,3.917834001185838,255.24307556096636
