Platform,C_in,C_out,Tile,Fused,MultiCore,Mean_Latency_ms,Median_Latency_ms,StdDev_ms,Conf_Interval_95,Min_ms,Max_ms,Test_Used,P_Value_vs_Baseline,Effect_Direction,HW_Perf_Output,Pi_Temp,Pi_Clock,Pi_Throttled,CPU_Percent_End
Darwin,32,32,"F(2,3)",False,False,2.946442979042331,2.935292000984191,0.0743406383314123,0.004607680500826412,2.8596670017577708,4.2787910024344455,N/A,1.0,N/A,Unsupported,N/A,N/A,N/A,16.7
Darwin,32,32,"F(2,3)",False,True,4.7275124940533715,4.675937001593411,0.6531675912418711,0.04048374672975114,3.8632920004602056,11.946999999054242,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,37.8
Darwin,32,32,"F(2,3)",True,False,9.914764805085724,9.76995800192526,1.0571658325138773,0.06552381714693804,9.144542000285583,28.41137500217883,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,25.2
Darwin,32,32,"F(2,3)",True,True,11.5112440440098,11.29466699785553,1.2415002421573702,0.07694898222501054,10.695958997530397,29.080666001391364,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,22.9
Darwin,32,128,"F(2,3)",False,False,7.159727198966721,7.128125000235741,0.14658688599506345,0.00908554932317443,6.940374998521293,8.940791001805337,N/A,1.0,N/A,Unsupported,N/A,N/A,N/A,18.9
Darwin,32,128,"F(2,3)",False,True,5.77022971608676,5.742729001212865,0.290457617812158,0.018002749666249002,4.469499999686377,6.868415999633726,Welch t-test,0.0,Faster,Unsupported,N/A,N/A,N/A,33.7
Darwin,32,128,"F(2,3)",True,False,11.112464223057032,11.027750000721426,0.2730520209555116,0.016923939596256272,10.530040999583434,12.871792001533322,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,19.3
Darwin,32,128,"F(2,3)",True,True,12.278863358027593,12.202375000924803,0.6689877155645108,0.041464288193991915,11.388375001843087,29.416332999971928,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,22.8
Darwin,128,32,"F(2,3)",False,False,6.978458906072774,6.938000000445754,0.15894944502986882,0.009851788670636675,6.784458997572074,8.66170899826102,N/A,1.0,N/A,Unsupported,N/A,N/A,N/A,21.6
Darwin,128,32,"F(2,3)",False,True,5.233099554901855,5.223895999733941,0.1494240865812531,0.009261400837384463,4.446625000127824,5.947582998487633,Welch t-test,0.0,Faster,Unsupported,N/A,N/A,N/A,31.2
Darwin,128,32,"F(2,3)",True,False,11.288083072045993,11.194021000846988,0.37774629310659086,0.023412957812486822,10.594874998787418,15.384959002403775,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,21.4
Darwin,128,32,"F(2,3)",True,True,12.55812520798645,12.099562498406158,1.8410935463225493,0.11411216023959311,10.896042000240413,43.837458000780316,Welch t-test,0.0,Slower,Unsupported,N/A,N/A,N/A,26.1
Darwin,128,128,"F(2,3)",False,False,20.934956720044283,20.7193334990734,0.8384624838279634,0.051968443157369815,20.494500000495464,36.278791001677746,N/A,1.0,N/A,Unsupported,N/A,N/A,N/A,16.2
Darwin,128,128,"F(2,3)",False,True,7.2952907110593515,7.14887500180339,0.8827722019538645,0.05471478793982455,5.681833001290215,14.652750000095693,Welch t-test,0.0,Faster,Unsupported,N/A,N/A,N/A,43.6
Darwin,128,128,"F(2,3)",True,False,17.153024331077177,16.857562499353662,1.273403835793664,0.07892638744513931,16.209458000957966,35.15075000177603,Welch t-test,0.0,Faster,Unsupported,N/A,N/A,N/A,19.8
Darwin,128,128,"F(2,3)",True,True,12.40483994400347,12.217187499118154,1.0962021483120636,0.06794331306686215,11.416332999942824,30.801166001765523,Welch t-test,0.0,Faster,Unsupported,N/A,N/A,N/A,25.1
